Ponto,Projeto,Equipe,Data/hora,Espécie,Poste,Área,Altura (m),DAP (cm),Acesso,Dist. BT (cm),Dist. MT (cm),Dist. AT (cm),Latitude,Longitude,Qtd fotos,Foto (link),Sincronizado
V20260820105019148402027,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 10:50:18",Mangueira,963561,URBANO,16,,Sim,300,100,0,-8.9671178,-48.166989,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820105019148402027F1.jpg,Não
V20260820105137893125058,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 10:51:36",Coqueiro,136128,URBANO,1,25,Sim,300,300,0,-8.9669258,-48.166758,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820105137893125058F1.jpg,Não
V20260820105236035986796,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 10:52:35",Coqueiro,136128,URBANO,2,30,Sim,300,300,0,-8.9668662,-48.166697,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820105236035986796F1.jpg,Não
V20260820105330249605378,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 10:53:29",Coqueiro,136128,URBANO,2,30,Sim,300,300,0,-8.96684,-48.1666833,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820105330249605378F1.jpg,Não
V20260820105417266439724,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 10:54:16",Coqueiro,964579,URBANO,1.5,25,Sim,300,300,0,-8.9668233,-48.1666717,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820105417266439724F1.jpg,Não
V20260820105522744666656,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 10:55:21",Coqueiro,964579,URBANO,2,30,Sim,300,300,0,-8.9667983,-48.1666,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820105522744666656F1.jpg,Não
V20260820105619476670556,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 10:56:18",Laranjeira,136128,URBANO,6.5,55,Sim,150,300,0,-8.9668333,-48.1666633,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820105619476670556F1.jpg,Não
V20260820105925435102063,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 10:59:24",Coqueiro,953219,URBANO,2,30,Sim,300,300,0,-8.9667757,-48.1662689,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820105925435102063F1.jpg,Não
V20260820110028490192480,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 11:00:27",Coqueiro,953219,URBANO,2,30,Sim,300,300,0,-8.9667661,-48.1662444,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820110028490192480F1.jpg,Não
V20260820110126060787007,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 11:01:25",Coqueiro,953219,URBANO,12,70,Sim,300,0,0,-8.9668623,-48.166245,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820110126060787007F1.jpg,Não
V20260820110226129576251,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 11:02:25",Cajueiro,136125,URBANO,10,75,Sim,0,50,0,-8.9668708,-48.1662163,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820110226129576251F1.jpg,Não
V20260820110320853786336,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 11:03:19",Coqueiro,136125,URBANO,2,30,Sim,300,300,0,-8.9668618,-48.1661768,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820110320853786336F1.jpg,Não
V20260820110407727975345,Rota Bom Jesus do Tocantins,Enecol Centro,"20/08/2026, 11:04:06",Coqueiro,136125,URBANO,2,30,Sim,300,300,0,-8.966916,-48.1661578,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260820110407727975345F1.jpg,Não
