Ponto,Projeto,Equipe,Data/hora,Espécie,Poste,Área,Altura (m),DAP (cm),Acesso,Dist. BT (cm),Dist. MT (cm),Dist. AT (cm),Latitude,Longitude,Qtd fotos,Foto (link),Sincronizado
V20260910105030072741755,Rota Dois Irmãos do Tocantins,Enecol Centro,"10/09/2026, 10:50:29",Jatobá,,URBANO,10,100,Sim,,200,0,-9.262,-49.058075,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260910105030072741755F1.jpg,Não
V20260910105433386866624,Rota Dois Irmãos do Tocantins,Enecol Centro,"10/09/2026, 10:54:32",Outros,,URBANO,4.5,55,Sim,150,300,0,-9.2609383,-49.0597417,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260910105433386866624F1.jpg,Não
V20260910105645432549483,Rota Dois Irmãos do Tocantins,Enecol Centro,"10/09/2026, 10:56:44",Abacateiro,,URBANO,5,85,Sim,300,300,0,-9.26089,-49.059815,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260910105645432549483F1.jpg,Não
V20260910105817895239164,Rota Dois Irmãos do Tocantins,Enecol Centro,"10/09/2026, 10:58:17",Outros,,URBANO,6,50,Sim,0,250,0,-9.260855,-49.0599333,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260910105817895239164F1.jpg,Não
V20260910105957921960992,Rota Dois Irmãos do Tocantins,Enecol Centro,"10/09/2026, 10:59:57",Outros,,URBANO,5.5,50,Sim,0,250,0,-9.2608217,-49.059975,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260910105957921960992F1.jpg,Não
V20260910110539989744734,Rota Dois Irmãos do Tocantins,Enecol Centro,"10/09/2026, 11:05:39",Jambo,,URBANO,10.5,95,Sim,250,100,0,-9.260595,-49.0604933,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260910110539989744734F1.jpg,Não
V20260910110821047323165,Rota Dois Irmãos do Tocantins,Enecol Centro,"10/09/2026, 11:08:20",Jambo,,URBANO,12,95,Sim,200,150,0,-9.2604383,-49.0609633,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260910110821047323165F1.jpg,Não
V20260910111053708572972,Rota Dois Irmãos do Tocantins,Enecol Centro,"10/09/2026, 11:10:52",Mangueira,,URBANO,5.5,85,Sim,0,300,0,-9.260035,-49.0611167,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260910111053708572972F1.jpg,Não
V20260910111307089804415,Rota Dois Irmãos do Tocantins,Enecol Centro,"10/09/2026, 11:13:06",Outros,,URBANO,12,90,Sim,300,300,0,-9.2597183,-49.0610583,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260910111307089804415F1.jpg,Não
V20260910111550293736638,Rota Dois Irmãos do Tocantins,Enecol Centro,"10/09/2026, 11:15:49",Cajueiro,,URBANO,3,50,Sim,,300,0,-9.2584417,-49.060525,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260910111550293736638F1.jpg,Não
