Ponto,Projeto,Equipe,Data/hora,Espécie,Poste,Área,Altura (m),DAP (cm),Acesso,Dist. BT (cm),Dist. MT (cm),Dist. AT (cm),Latitude,Longitude,Qtd fotos,Foto (link),Sincronizado
V20260925113615911986470,Rota Xambioá,Enecol Centro,"25/09/2026, 11:36:14",Outros,128223,URBANO,4,75,Sim,300,300,0,-6.422294,-48.5350134,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925113615911986470F1.jpg,Não
V20260925113737130314989,Rota Xambioá,Enecol Centro,"25/09/2026, 11:37:36",Cajueiro,650059,URBANO,5,80,Sim,300,300,0,-6.4228403,-48.5354152,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925113737130314989F1.jpg,Não
V20260925113841989521948,Rota Xambioá,Enecol Centro,"25/09/2026, 11:38:41",Mangueira,650059,URBANO,2.5,30,Sim,300,300,0,-6.4229453,-48.53549,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925113841989521948F1.jpg,Não
V20260925114136098465757,Rota Xambioá,Enecol Centro,"25/09/2026, 11:41:35",Mangueira,128226,URBANO,6,90,Sim,100,300,0,-6.4214495,-48.5345657,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925114136098465757F1.jpg,Não
V20260925114429565979542,Rota Xambioá,Enecol Centro,"25/09/2026, 11:44:28",Mangueira,649084,URBANO,5.5,80,Não,0,200,0,-6.4188446,-48.5368816,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925114429565979542F1.jpg,Não
V20260925114633029585764,Rota Xambioá,Enecol Centro,"25/09/2026, 11:46:32",Outros,296219,URBANO,6.5,125,Sim,0,300,0,-6.4184052,-48.5381595,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925114633029585764F1.jpg,Não
V20260925115034512294181,Rota Xambioá,Enecol Centro,"25/09/2026, 11:50:33",Outros,650343,URBANO,7.5,110,Sim,150,100,0,-6.4185286,-48.5364105,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925115034512294181F1.jpg,Não
V20260925115203537222193,Rota Xambioá,Enecol Centro,"25/09/2026, 11:52:02",Cajueiro,650341,URBANO,7.5,130,Sim,0,50,0,-6.418305,-48.5361681,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925115203537222193F1.jpg,Não
V20260925115616967223275,Rota Xambioá,Enecol Centro,"25/09/2026, 11:56:15",Outros,650359,URBANO,8,95,Sim,50,50,0,-6.4139428,-48.5381936,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925115616967223275F1.jpg,Não
V20260925115732771379781,Rota Xambioá,Enecol Centro,"25/09/2026, 11:57:31",Outros,649833,URBANO,5.5,70,Sim,50,200,0,-6.4136235,-48.5388997,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925115732771379781F1.jpg,Não
V20260925122943592116768,Rota Xambioá,Enecol Centro,"25/09/2026, 12:29:42",Mangueira,30959792,URBANO,9,190,Sim,0,50,0,-6.4102754,-48.5419519,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925122943592116768F1.jpg,Não
V20260925123118520102748,Rota Xambioá,Enecol Centro,"25/09/2026, 12:31:17",Outros,30959794,URBANO,10.5,110,Sim,300,300,0,-6.4100894,-48.5416251,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925123118520102748F1.jpg,Não
V20260925123249085229359,Rota Xambioá,Enecol Centro,"25/09/2026, 12:32:48",Outros,30959809,URBANO,9.5,115,Sim,200,200,0,-6.409445,-48.54048,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260925123249085229359F1.jpg,Não
