Ponto,Projeto,Equipe,Data/hora,Espécie,Poste,Área,Altura (m),DAP (cm),Acesso,Dist. BT (cm),Dist. MT (cm),Dist. AT (cm),Latitude,Longitude,Qtd fotos,Foto (link),Sincronizado
V20260724110546448170786,Rota Guaraí,Enecol Centro,"24/07/2026, 09:20:00",Outros,1774346,URBANO,8.5,60,Sim,,150,0,-8.823545,-48.517176,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260724110546448170786F1.jpg,Não
V20260724110549139884942,Rota Guaraí,Enecol Centro,"24/07/2026, 09:27:07",Outros,1774346,URBANO,8.5,75,Sim,,150,0,-8.8235382,-48.5171174,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260724110549139884942F1.jpg,Não
V20260724110555729898472,Rota Guaraí,Enecol Centro,"24/07/2026, 09:28:35",Cajueiro,1774345,URBANO,6,50,Sim,,,0,-8.8234762,-48.5170073,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260724110555729898472F1.jpg,Não
V20260724141739257577377,Rota Guaraí,Enecol Centro,"24/07/2026, 14:17:38",Outros,893890,URBANO,19,200,Sim,,50,0,-8.82137,-48.5126067,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260724141739257577377F1.jpg,Não
V20260724141957461088412,Rota Guaraí,Enecol Centro,"24/07/2026, 14:19:56",Outros,912533,URBANO,12,140,Sim,,50,0,-8.82164,-48.5126167,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260724141957461088412F1.jpg,Não
V20260724142104423749760,Rota Guaraí,Enecol Centro,"24/07/2026, 14:21:03",Cajueiro,912533,URBANO,9,,Sim,,300,0,-8.821725,-48.5125933,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260724142104423749760F1.jpg,Não
V20260724142300904459967,Rota Guaraí,Enecol Centro,"24/07/2026, 14:22:59",Outros,303262,URBANO,4.5,40,Sim,,,0,-8.82122,-48.5127083,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260724142300904459967F1.jpg,Não
V20260724142356841781511,Rota Guaraí,Enecol Centro,"24/07/2026, 14:23:55",Outros,893891,URBANO,4.5,40,,,,0,-8.8210633,-48.5126867,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260724142356841781511F1.jpg,Não
V20260724143359551497538,Rota Guaraí,Enecol Centro,"24/07/2026, 14:33:58",Oiti,914223,URBANO,9,50,Sim,200,250,0,-8.8297817,-48.514275,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260724143359551497538F1.jpg,Não
V20260724143455441132558,Rota Guaraí,Enecol Centro,"24/07/2026, 14:34:54",Oiti,914223,URBANO,9,50,Sim,200,300,0,-8.827095,-48.5079183,3,https://raw.githubusercontent.com/LGRSV/vera-vegetacao/main/fotos/Enecol-Centro/VER20260724143455441132558F1.jpg,Não
